Categoría,Etiqueta,Descripción,Uso en Prompt
Género Vocal,Male Vocal/Singer,Especifica voces masculinas,Se puede usar en el estilo o como [Male Vocal/Singer]
Género Vocal,Female Vocal/Singer,Especifica voces femeninas,Se puede usar en el estilo o como [Female Vocal/Singer]
Género Vocal,Duet,Indica un dúo,Se puede usar en el estilo o como [Duet]
Género Vocal,Choir/Gospel Choir,Añade coros,Se puede usar en el estilo o como [Choir/Gospel Choir]
Género Vocal,Children Voice,Voz de niño/niña,Se puede usar en el estilo o como [Children Voice]
Género Vocal,Toddler Voice,Voz de bebé/infante,Se puede usar en el estilo o como [Toddler Voice]
Rangos Vocales,Tenor,Rango vocal masculino agudo (no confirmado oficialmente),Se puede usar en el estilo o como [Tenor]
Rangos Vocales,Baritone/Bass Male Vocal,Rango vocal masculino grave,Se puede usar en el estilo o como [Baritone/Bass Male Vocal]
Rangos Vocales,Soprano,Rango vocal femenino agudo (no confirmado oficialmente),Se puede usar en el estilo o como [Soprano]
Rangos Vocales,Alto,Rango vocal femenino grave (no confirmado oficialmente),Se puede usar en el estilo o como [Alto]
Rangos Vocales,Contralto,Rango vocal femenino más grave,Se puede usar en el estilo o como [Contralto]
Rangos Vocales,Operatic Soprano,Soprano operística,Se puede usar en el estilo o como [Operatic Soprano]
Rangos Vocales,Operatic Contralto,Contralto operática,Se puede usar en el estilo o como [Operatic Contralto]
Estilos Vocales Rock/Metal,Clean Vocals,Voces limpias melódicas,Se puede usar en el estilo o como [Clean Vocals]
Estilos Vocales Rock/Metal,Growling,Técnica gutural grave (death metal),Se puede usar en el estilo o como [Growling]
Estilos Vocales Rock/Metal,Screaming,Gritos agudos intensos,Se puede usar en el estilo o como [Screaming]
Estilos Vocales Rock/Metal,Fry Screaming,Gritos ásperos y distorsionados,Se puede usar en el estilo o como [Fry Screaming]
Estilos Vocales Rock/Metal,Pig Squeals,Chillidos extremos (brutal death metal),Se puede usar en el estilo o como [Pig Squeals]
Estilos Vocales Rock/Metal,Harsh Vocals,Voces duras/ásperas,Se puede usar en el estilo o como [Harsh Vocals]
Estilos Vocales Rock/Metal,Raw Vocals,Voces crudas,Se puede usar en el estilo o como [Raw Vocals]
Estilos Vocales Rock/Metal,Primal Scream,Grito primitivo,Se puede usar en el estilo o como [Primal Scream]
Estilos Vocales Rock/Metal,Infernal Scream,Grito infernal,Se puede usar en el estilo o como [Infernal Scream]
Estilos Vocales Rock/Metal,Yell Chorus,Coro gritado,Se puede usar en el estilo o como [Yell Chorus]
Estilos Vocales Rock/Metal,Power Vocals,Voces poderosas,Se puede usar en el estilo o como [Power Vocals]
Estilos Vocales Rock/Metal,Aggressive Vocals,Voces agresivas,Se puede usar en el estilo o como [Aggressive Vocals]
Estilos Vocales Rock/Metal,Brutal Vocals,Voces brutales,Se puede usar en el estilo o como [Brutal Vocals]
Estilos Vocales Rock/Metal,Death Growls,Gruñidos de death metal,Se puede usar en el estilo o como [Death Growls]
Estilos Vocales Rock/Metal,Black Metal Screams,Gritos de black metal,Se puede usar en el estilo o como [Black Metal Screams]
Estilos Vocales Rock/Metal,Metalcore Vocals,Voces de metalcore,Se puede usar en el estilo o como [Metalcore Vocals]
Estilos Vocales Rock/Metal,Melodic Harsh Vocals,Voces duras melódicas,Se puede usar en el estilo o como [Melodic Harsh Vocals]
Técnicas Vocales Específicas,Belting,Técnica de canto potente,Se puede usar en el estilo o como [Belting]
Técnicas Vocales Específicas,Whisper,Susurros,Se puede usar en el estilo o como [Whisper]
Técnicas Vocales Específicas,Spoken Word,Palabra hablada,Se puede usar en el estilo o como [Spoken Word]
Técnicas Vocales Específicas,Rap Verse,Verso de rap,Se puede usar en el estilo o como [Rap Verse]
Técnicas Vocales Específicas,Gregorian Chant,Canto gregoriano,Se puede usar en el estilo o como [Gregorian Chant]
Técnicas Vocales Específicas,Melismatic,Ornamentación vocal,Se puede usar en el estilo o como [Melismatic]
Técnicas Vocales Específicas,Sprechgesang,Medio hablar medio cantar,Se puede usar en el estilo o como [Sprechgesang]
Técnicas Vocales Específicas,Vocaloid,Estilo sintético,Se puede usar en el estilo o como [Vocaloid]
Técnicas Vocales Específicas,Narration,Narración,Se puede usar en el estilo o como [Narration]
Técnicas Vocales Específicas,Female Narrator,Narradora femenina,Se puede usar en el estilo o como [Female Narrator]
Técnicas Vocales Específicas,Male Narrator,Narrador masculino,Se puede usar en el estilo o como [Male Narrator]
Efectos y Texturas Vocales,Reverb,Reverberación,Se puede usar en el estilo o como [Reverb]
Efectos y Texturas Vocales,Echo/Delay,Eco/Delay,Se puede usar en el estilo o como [Echo/Delay]
Efectos y Texturas Vocales,Distorted Vocals,Voces distorsionadas,Se puede usar en el estilo o como [Distorted Vocals]
Efectos y Texturas Vocales,Autotuned,Con autotune,Se puede usar en el estilo o como [Autotuned]
Efectos y Texturas Vocales,Harmonized Chorus,Coro armonizado,Se puede usar en el estilo o como [Harmonized Chorus]
Efectos y Texturas Vocales,Stacked Harmonies,Armonías apiladas,Se puede usar en el estilo o como [Stacked Harmonies]
Efectos y Texturas Vocales,Echoing Vocals,Voces con eco,Se puede usar en el estilo o como [Echoing Vocals]
Efectos y Texturas Vocales,Sultry,Seductor,Se puede usar en el estilo o como [Sultry]
Efectos y Texturas Vocales,Resonant,Resonante,Se puede usar en el estilo o como [Resonant]
Efectos y Texturas Vocales,Ethereal,Etéreo,Se puede usar en el estilo o como [Ethereal]
Efectos y Texturas Vocales,Lounge Singer,Cantante de lounge,Se puede usar en el estilo o como [Lounge Singer]
Efectos y Texturas Vocales,Emotional,Emocional,Se puede usar en el estilo o como [Emotional]
Efectos y Texturas Vocales,Breathy,Con aire/respiración,Se puede usar en el estilo o como [Breathy]
Efectos y Texturas Vocales,Vibrato,Con vibrato,Se puede usar en el estilo o como [Vibrato]
Efectos y Texturas Vocales,Raspy,Áspero,Se puede usar en el estilo o como [Raspy]
Efectos y Texturas Vocales,Gritty,Arenoso/rugoso,Se puede usar en el estilo o como [Gritty]
Géneros Específicos Rock/Metal,Hard Rock Vocals,Voces de hard rock,Se puede usar en el estilo o como [Hard Rock Vocals]
Géneros Específicos Rock/Metal,Heavy Metal Vocals,Voces de heavy metal,Se puede usar en el estilo o como [Heavy Metal Vocals]
Géneros Específicos Rock/Metal,Power Metal Vocals,Voces de power metal,Se puede usar en el estilo o como [Power Metal Vocals]
